,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price
299,1,1,2,1,3,5,5,0,2,0,0,0,0,0,1,72990
300,3,3,2,1,3,1,1,0,2,1,0,2,0,0,1,71090
301,6,6,2,1,3,1,1,0,2,1,2,0,1,0,0,74990
302,1,1,2,0,3,3,3,0,2,1,0,0,0,0,1,79990
303,6,6,2,1,3,1,1,0,2,1,0,0,0,0,0,55490
304,3,3,2,1,3,1,1,0,2,1,1,2,0,0,1,66490
305,1,1,2,1,3,1,1,0,2,1,0,0,0,0,1,53400
306,3,3,2,1,3,1,1,0,2,1,0,0,0,1,1,74500
307,3,3,2,1,3,5,5,0,2,1,0,2,0,0,1,114990
308,3,3,2,1,3,1,1,0,2,1,1,2,3,0,0,61990
309,0,0,2,0,3,5,5,0,1,1,0,0,0,0,0,159990
310,0,0,2,5,3,0,0,0,1,1,0,0,0,0,0,172090
311,6,6,2,1,3,1,1,0,2,1,2,0,3,0,0,74990
312,6,6,2,0,3,1,1,0,2,1,0,0,0,0,0,56490
313,5,5,2,0,3,1,1,0,2,1,0,2,2,0,0,147000
314,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,55990
315,4,4,2,1,3,1,1,0,2,1,2,1,0,0,1,77990
316,4,4,2,0,3,1,1,0,2,1,2,0,0,0,1,106490
317,5,5,2,1,3,1,1,0,2,0,1,0,0,0,1,70990
318,5,5,2,1,3,1,1,0,2,1,0,0,0,0,1,64990
319,7,7,2,1,3,1,1,0,2,1,0,0,0,0,0,57990
320,1,1,2,0,3,1,1,0,2,1,2,1,0,0,0,64990
321,6,6,2,0,3,1,1,0,2,1,0,0,0,0,0,54990
322,4,4,2,1,3,5,5,0,2,1,0,0,3,1,0,111999
323,5,5,2,0,3,5,5,0,2,1,1,0,0,0,1,70798
324,5,5,2,6,3,1,1,0,2,1,2,0,3,0,0,59990
325,7,7,2,5,3,1,1,0,2,1,2,0,0,0,0,99500
326,4,4,2,0,3,1,1,0,2,1,0,2,0,0,1,55990
327,1,1,2,5,3,3,3,0,2,1,0,2,0,0,0,72990
328,7,7,2,5,3,0,0,0,2,1,0,2,0,0,0,64990
329,1,1,2,1,3,1,1,0,2,1,0,2,3,0,0,57990
330,4,4,2,1,3,1,1,0,2,1,1,0,0,1,1,76990
331,5,5,2,1,3,1,1,0,2,1,0,0,1,0,1,62998
332,3,3,2,1,3,1,1,0,2,1,0,0,0,1,1,77990
333,4,4,2,0,3,1,1,0,2,1,0,0,0,1,1,114990
334,3,3,2,0,3,1,1,0,2,1,1,0,0,0,1,65990
335,3,3,2,1,3,1,1,0,2,1,1,0,0,0,1,88990
336,5,5,2,0,3,1,1,0,2,1,0,0,3,0,0,113590
337,1,1,2,1,3,5,5,0,2,1,0,0,0,1,1,73990
338,4,4,2,1,3,1,1,0,2,1,0,2,0,0,1,61000
339,1,1,2,1,3,5,5,0,2,1,0,0,0,1,0,99990
340,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,67990
341,3,3,2,1,3,1,1,0,2,1,0,0,0,1,1,70799
342,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,65990
343,1,1,2,5,3,1,1,0,2,1,0,2,0,0,0,53690
344,6,6,2,1,3,1,1,0,2,1,0,2,0,0,0,55990
345,1,1,2,1,3,1,1,0,2,1,0,0,0,0,1,53190
346,5,5,2,0,3,1,1,0,2,0,1,0,1,0,1,58999
347,3,3,2,1,3,1,1,0,2,1,1,2,2,0,0,71990
348,4,4,2,1,3,1,1,0,2,0,2,0,3,0,0,82000
349,1,1,2,1,3,5,5,0,2,1,0,2,3,0,0,84990
350,5,5,2,1,3,1,1,0,2,1,1,0,3,0,0,89998
353,5,5,2,0,3,1,1,0,2,1,2,1,3,0,0,69899
354,3,3,2,0,3,1,1,0,2,1,2,0,0,0,0,79990
355,3,3,2,0,3,1,1,0,2,1,2,0,0,0,0,76300
356,5,5,2,0,3,1,1,0,2,1,0,0,0,0,1,55999
357,3,3,2,1,3,1,1,0,2,1,0,2,3,0,0,72900
358,3,3,2,1,3,1,1,0,2,1,0,0,0,1,1,73990
359,1,1,2,1,3,4,4,0,2,1,0,2,3,0,0,84990
360,3,3,2,1,3,1,1,0,2,0,1,0,3,0,0,73519
361,4,4,2,0,3,1,1,0,2,1,0,0,0,1,0,126000
362,1,1,2,1,3,1,1,0,2,1,3,0,0,0,0,88990
363,4,4,2,1,3,1,1,0,2,1,0,2,0,1,1,114999
364,3,3,2,1,3,1,1,0,2,1,1,0,0,1,1,82990
365,7,7,2,1,3,1,1,0,2,1,0,2,3,1,0,109999
366,5,5,2,1,3,1,1,0,2,1,0,2,0,1,1,82990
368,1,1,2,1,3,5,5,0,2,1,0,0,0,1,0,114990
369,4,4,2,1,3,5,5,0,2,1,0,0,0,1,0,129999
370,6,6,2,5,3,2,2,0,2,0,3,0,3,0,0,149990
371,3,3,2,1,3,1,1,0,2,1,1,0,3,0,0,71290
372,3,3,2,0,3,1,1,0,2,1,0,2,0,0,1,79500
373,3,3,2,0,3,1,1,0,2,1,1,0,0,0,1,82990
374,3,3,2,1,3,1,1,0,2,1,1,0,0,0,1,70980
376,4,4,2,1,3,1,1,0,2,0,0,0,3,0,0,94000
377,3,3,2,1,3,1,1,0,2,1,1,0,3,1,0,82990
379,1,1,2,5,3,1,1,0,2,1,0,2,3,0,0,85990
380,1,1,2,0,3,1,1,0,2,1,1,0,3,0,0,86990
381,1,1,2,0,3,3,3,0,2,1,1,0,0,0,1,105990
382,1,1,2,0,3,3,3,0,2,1,0,0,3,0,0,84990
383,5,5,2,5,3,1,1,0,2,1,1,0,0,0,1,59999
384,5,5,2,1,3,1,1,0,2,1,0,0,0,0,1,91999
385,3,3,2,1,3,1,1,0,2,1,0,0,0,1,1,78900
386,1,1,2,0,3,3,3,0,2,1,0,0,3,0,0,132790
387,5,5,2,1,3,1,1,0,2,1,2,1,3,0,0,60990
388,2,2,2,4,3,1,1,0,2,1,0,2,3,0,0,65556
389,3,3,2,1,0,1,1,0,2,1,0,2,3,0,0,70190
390,3,3,2,1,3,1,1,0,2,1,1,0,0,1,0,79590
392,1,1,2,1,3,1,1,0,2,1,2,0,0,0,0,76990
394,2,2,2,5,3,1,1,0,2,1,0,2,3,0,0,44990
396,5,5,2,0,3,1,1,0,2,1,1,0,0,1,1,86999
397,4,4,2,1,0,1,1,0,2,1,1,0,0,0,0,78000
398,2,2,2,5,3,1,1,0,2,1,0,2,3,0,0,73063
400,4,4,2,1,0,1,1,0,2,1,2,0,0,0,1,100990
401,5,5,2,5,3,1,1,0,2,1,0,2,0,0,1,74990
402,1,1,2,0,3,1,1,0,2,1,2,0,3,0,0,75990
403,5,5,2,1,3,1,1,0,2,0,1,0,0,0,1,84086
404,1,1,2,1,3,1,1,0,2,1,2,1,3,0,0,75990
405,1,1,2,1,3,1,1,0,2,1,2,1,0,0,1,77990
406,1,1,2,0,3,1,1,0,2,1,2,0,0,0,0,77990
407,0,0,2,0,0,5,5,0,1,1,0,0,0,0,0,179990
409,1,1,2,0,3,1,1,0,2,1,2,0,3,0,0,82990
410,1,1,2,1,3,1,1,0,2,1,2,0,0,0,0,87990
411,1,1,2,1,3,1,1,0,2,1,2,0,3,0,0,84500
